code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL000010,AL,36.775259999999996,PINUS NIGRA SSP AUSTR.,1279.18,1185,1360,medium,2714.87,37.10625,-2.82876,0,1,0,0,2,3,0,0,0,3,0,2,0,0,0,0,1,1,3,0,0,2,2,2,2,2,4
AL000011,AL,103.9913438,PINUS SYLVESTRIS,1338.78,1179,1437,medium,4839.76,37.02291,-2.90114,3,0,0,0,3,3,2,0,3,0,2,2,2,1,0,1,1,2,1,1,0,1,2,2,1,3,4
AL000012,AL,19.2971189,PINUS HALEPENSIS,979.78,908,1118,low,1921.13,37.00452,-2.88929,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AL000013,AL,18.0706082,PINUS HALEPENSIS,641.9,572,688,low,1690.13,36.99346,-2.70886,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
AL000014,AL,22.064888200000002,PINUS HALEPENSIS,737.44,675,810,low,2071.45,36.88488,-2.92346,NA,2,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
AL000015,AL,48.2646647,PINUS SYLVESTRIS,1866.74,1805,1925,high,2558.12,37.07623,-2.78088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,2,1,0,1,0,1,1,1,2
AL000016,AL,26.0976475,NA,1647.81,1506,1743,medium,2291.74,37.11959,-2.89843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,0,1,0,1,1,1,1,0,1,1,1,0
AL000017,AL,1.7360312999999998,PINUS HALEPENSIS,829.99,819,842,low,518.71,37.14659,-2.76876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,1,2,2,1,0
AL000018,AL,74.1662324,PINUS HALEPENSIS,659.02,552,800,low,9573.41,37.01831,-2.72591,NA,4,1,0,0,3,2,1,0,2,NA,2,0,2,2,0,1,1,1,1,2,2,2,2,2,3,3
AL001001,AL,193.8681527,PINUS SYLVESTRIS,1871.24,1632,1982,high,10680.27,37.23274,-2.77019,NA,0,0,0,0,1,1,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,2,2,3,2
AL001002,AL,114.2510858,PINUS NIGRA SSP SALZM.,1574.51,1385,1742,medium,6952.3,37.22005,-2.77693,NA,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,2,2,2,1
AL001003,AL,5.3859925,PINUS HALEPENSIS,859.58,844,887,low,1522.34,37.1559,-2.74369,NA,0,1,NA,2,2,1,0,0,NA,NA,4,0,3,1,2,2,2,1,1,1,0,0,1,2,1,1
AL001004,AL,38.5852756,PINUS HALEPENSIS,865,825,899,low,3012.6,37.14451,-2.75905,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,0,0,0,4,0,1,1,1,0,0,1,1,1,2,1
AL001005,AL,144.7639986,PINUS HALEPENSIS,1111.46,859,1315,low,6074,37.12714,-2.77864,1,2,0,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1
AL001006,AL,94.8816095,PINUS HALEPENSIS,1148.45,892,1367,low,7047.49,37.12397,-2.76244,1,3,0,0,0,1,2,0,0,1,1,1,0,0,0,3,0,0,1,1,0,0,1,1,1,1,1
AL001007,AL,23.732071599999998,PINUS HALEPENSIS,1252.58,1046,1428,medium,2358.71,37.1181,-2.75231,1,2,0,0,0,1,3,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1
AL001008,AL,11.0302896,PINUS HALEPENSIS,1331.13,1282,1377,medium,1491.9,37.12028,-2.77368,1,2,0,0,0,1,0,0,0,NA,0,1,0,0,0,1,0,1,2,1,0,0,1,1,1,3,2
AL001009,AL,191.8822702,PINUS HALEPENSIS,1532.91,1309,1821,medium,8867.8,37.09912,-2.77395,1,0,0,0,0,1,0,0,0,NA,1,1,NA,0,0,1,0,1,2,1,0,0,1,1,1,1,2
AL001010,AL,99.0278225,PINUS HALEPENSIS,1302.1,1236,1388,medium,7433.02,37.11065,-2.7603,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,3
AL001011,AL,6.4029282,PINUS HALEPENSIS,845.36,795,888,low,1085.41,37.14921,-2.74434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,2,2,1,1,1,0,0,1,2,1,1
AL002002,AL,33.3034293,PINUS NIGRA SSP SALZM.,1725.73,1549,1897,high,3657.51,37.22601,-2.78292,NA,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,2,1,1,0,0,2,2,2,1
AL002003,AL,513.3161276999999,PINUS HALEPENSIS,1419.13,1153,1890,medium,17172.8,37.2118,-2.79308,NA,NA,1,1,3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,0
AL002004,AL,23.9543476,PINUS PINASTER,1667.65,1548,1760,medium,2556.72,37.22536,-2.78881,NA,0,0,0,1,1,1,1,3,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2,2,2,2
AL002005,AL,42.8032477,PINUS PINASTER,1494.21,1347,1661,medium,4025.59,37.21839,-2.79446,NA,0,1,0,0,0,0,1,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,2,3,2,0
AL002006,AL,210.04738220000002,PINUS HALEPENSIS,1111.92,995,1243,low,12097.78,37.19262,-2.79371,2,4,NA,0,NA,2,NA,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,3,1,0
AL002007,AL,267.1728734,PINUS NIGRA SSP AUSTR.,1491.54,1266,1799,medium,17368.44,37.13629,-2.86806,3,0,0,0,0,2,0,0,0,1,2,3,NA,0,0,0,0,0,3,3,1,0,0,1,1,2,2
AL002008,AL,279.0880537,PINUS NIGRA SSP AUSTR.,1650.24,1415,1840,medium,9237.65,37.13121,-2.88625,0,0,0,0,0,3,0,0,0,1,3,2,4,0,0,1,0,0,3,3,1,0,0,1,1,2,2
AL002009,AL,40.259799300000005,PINUS NIGRA SSP AUSTR.,1522.69,1396,1620,medium,2874.61,37.13509,-2.8655,3,1,0,0,0,2,0,0,0,2,NA,3,4,0,0,0,0,0,3,2,0,0,0,1,0,2,4
AL002010,AL,300.6764771,PINUS SYLVESTRIS,1648.62,1351,1834,medium,17479.73,37.1212,-2.87363,0,0,0,0,0,1,0,0,0,1,2,3,4,0,0,0,0,0,2,4,1,0,0,1,1,2,3
AL002011,AL,45.666127100000004,PINUS HALEPENSIS,1140.62,969,1248,low,4646.31,37.12528,-2.78964,NA,4,0,0,0,2,0,0,0,1,2,2,1,0,0,1,0,1,1,2,1,0,1,2,2,2,1
AL002012,AL,303.2116779,PINUS NIGRA SSP AUSTR.,1460.51,1164,1705,medium,11209.11,37.11841,-2.84822,3,0,0,0,0,1,0,0,0,1,3,2,2,0,0,0,0,0,2,2,1,0,0,1,0,2,2
AL002013,AL,40.571305200000005,PINUS HALEPENSIS,1258.28,1179,1324,medium,3473.4,37.11927,-2.78237,NA,2,0,0,0,1,0,0,0,1,3,2,1,0,0,1,0,2,1,1,1,0,0,0,0,2,1
AL002014,AL,12.0581905,PINUS NIGRA SSP AUSTR.,1766.18,1683,1811,high,2231.56,37.11802,-2.88035,0,0,0,0,0,3,1,0,0,1,2,3,3,0,0,0,0,0,2,4,0,0,0,1,1,2,4
AL002015,AL,245.28089049999997,PINUS NIGRA SSP AUSTR.,1842.33,1433,2209,high,11490.56,37.10565,-2.86788,3,0,0,0,0,1,0,0,0,NA,3,2,3,0,0,0,0,0,3,4,1,0,0,1,2,3,4
AL002016,AL,71.8635373,PINUS SYLVESTRIS,1936.49,1803,2137,high,4660.57,37.10578,-2.88661,0,0,0,0,0,1,0,0,0,NA,0,1,3,0,0,0,0,0,2,3,1,0,0,2,2,3,3
